R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,VfB Stuttgart,12%,50%,39%
2,Borussia M.Gladbach,12%,57%,31%
3,Wolfsburg,9%,51%,40%
4,Arminia Bielefeld,9%,63%,28%
5,Bochum,9%,57%,35%
6,Bayer Leverkusen,8%,56%,36%
7,Borussia Dortmund,8%,60%,32%
8,FC Koln,8%,59%,33%
9,Eintracht Frankfurt,8%,62%,30%
10,Hertha Berlin,8%,64%,29%
11,Greuther Fuerth,8%,59%,33%
12,Union Berlin,8%,54%,37%
13,Hoffenheim,8%,62%,30%
14,RB Leipzig,8%,63%,29%
15,Augsburg,8%,58%,34%
16,Bayern Munich,7%,57%,36%
17,Freiburg,6%,54%,40%
18,Mainz 05,5%,58%,36%
