R,Team,Fouls,Unprofessional,Dive,Other
1,Augsburg,50,4,0,11
2,Hoffenheim,49,4,0,15
3,Greuther Fuerth,47,2,0,6
4,Borussia M.Gladbach,46,3,0,9
5,VfB Stuttgart,45,0,0,12
6,FC Koln,45,5,0,8
7,Bayer Leverkusen,43,7,0,15
8,Borussia Dortmund,43,3,0,11
9,Eintracht Frankfurt,43,7,0,9
10,Mainz 05,43,4,0,11
11,Union Berlin,41,2,0,11
12,Hertha Berlin,40,5,0,12
13,Arminia Bielefeld,39,1,0,9
14,Wolfsburg,38,5,0,14
15,Bochum,37,1,0,13
16,RB Leipzig,32,4,0,7
17,Bayern Munich,24,2,0,3
18,Freiburg,21,2,0,6
