R,Team,Left Side,Middle of the pitch,Right Side
1,Bochum,43%,25%,33%
2,RB Leipzig,41%,27%,31%
3,VfB Stuttgart,40%,27%,32%
4,Union Berlin,40%,25%,35%
5,Eintracht Frankfurt,39%,28%,34%
6,Borussia Dortmund,38%,26%,36%
7,Hertha Berlin,38%,26%,36%
8,FC Koln,37%,24%,39%
9,Greuther Fuerth,37%,21%,42%
10,Freiburg,37%,28%,35%
11,Hoffenheim,37%,25%,39%
12,Bayer Leverkusen,36%,27%,37%
13,Arminia Bielefeld,36%,27%,38%
14,Wolfsburg,35%,27%,37%
15,Mainz 05,35%,27%,38%
16,Augsburg,35%,24%,41%
17,Bayern Munich,33%,31%,36%
18,Borussia M.Gladbach,30%,31%,39%
