R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,19,3,53,600
2,Borussia Dortmund,15,2,51,532
3,RB Leipzig,16,2,50,491
4,Bayer Leverkusen,16,2,57,443
5,Borussia M.Gladbach,13,2,52,441
6,Hoffenheim,21,1,62,430
7,VfB Stuttgart,16,1,59,424
8,Eintracht Frankfurt,21,1,66,385
9,FC Koln,24,1,63,384
10,Wolfsburg,19,1,61,380
11,Freiburg,18,1,64,350
12,Mainz 05,18,1,57,338
13,Union Berlin,20,1,68,328
14,Hertha Berlin,15,1,58,325
15,Greuther Fuerth,14,1,62,307
16,Arminia Bielefeld,15,1,66,291
17,Bochum,16,1,80,271
18,Augsburg,18,1,70,271
