R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hertha Berlin,43,3,13,7,0
2,Greuther Fuerth,39,5,18,5,5
3,Borussia M.Gladbach,38,3,12,2,0
4,VfB Stuttgart,33,5,10,4,1
5,Wolfsburg,32,3,11,4,1
6,Augsburg,31,4,7,3,2
7,Arminia Bielefeld,30,1,7,7,1
8,Eintracht Frankfurt,28,4,6,4,0
9,Hoffenheim,27,4,12,1,1
10,FC Koln,26,7,10,0,1
11,Union Berlin,26,1,6,2,4
12,Bayer Leverkusen,25,1,14,2,1
13,Borussia Dortmund,24,5,8,4,2
14,Mainz 05,24,2,6,3,1
15,Bochum,24,2,10,1,4
16,Freiburg,23,2,7,1,1
17,Bayern Munich,22,2,3,1,1
18,RB Leipzig,17,2,8,3,1
