R,Team,Left Side,Attempts from the middle,Right Side
1,Greuther Fuerth,23%,57%,21%
2,Hertha Berlin,21%,61%,18%
3,VfB Stuttgart,19%,67%,14%
4,Bayer Leverkusen,17%,68%,14%
5,Arminia Bielefeld,17%,61%,22%
6,Borussia Dortmund,17%,69%,14%
7,Freiburg,17%,69%,14%
8,Bochum,17%,64%,19%
9,Augsburg,17%,65%,17%
10,Wolfsburg,16%,68%,16%
11,Borussia M.Gladbach,16%,64%,19%
12,Eintracht Frankfurt,16%,69%,15%
13,Union Berlin,15%,73%,13%
14,Mainz 05,14%,71%,14%
15,Bayern Munich,13%,73%,15%
16,FC Koln,13%,72%,15%
17,Hoffenheim,13%,73%,14%
18,RB Leipzig,13%,76%,10%
