R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Freiburg,11%,54%,35%
2,FC Koln,10%,58%,32%
3,Union Berlin,10%,61%,29%
4,Hoffenheim,10%,64%,25%
5,RB Leipzig,10%,61%,29%
6,Wolfsburg,9%,56%,35%
7,Bayern Munich,9%,60%,31%
8,Borussia Dortmund,9%,59%,31%
9,Eintracht Frankfurt,9%,54%,38%
10,Augsburg,9%,55%,36%
11,VfB Stuttgart,8%,58%,34%
12,Mainz 05,8%,54%,38%
13,Bayer Leverkusen,7%,63%,31%
14,Borussia M.Gladbach,7%,60%,33%
15,Greuther Fuerth,7%,56%,37%
16,Bochum,6%,54%,40%
17,Hertha Berlin,6%,59%,35%
18,Arminia Bielefeld,4%,51%,45%
