Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,20.1,6.2,1.9,12,7.02
2. Borussia Dortmund,13.7,4.3,1.3,8.2,6.79
3. RB Leipzig,12.9,3.8,1.3,7.9,6.79
4. Bayer Leverkusen,13.7,4.2,0.9,8.6,6.76
5. Freiburg,13.4,4.7,1.5,7.2,6.71
6. Mainz 05,13.9,5.3,1.1,7.6,6.65
7. Borussia M.Gladbach,15.2,5,1,9.2,6.65
8. FC Koln,13.4,4.3,1.4,7.7,6.65
9. Eintracht Frankfurt,13.1,4.9,1.1,7,6.62
10. Hoffenheim,13.4,3.4,1.4,8.6,6.62
11. Union Berlin,12.1,3.5,1.2,7.4,6.60
12. VfB Stuttgart,12.7,4.3,1,7.4,6.60
13. Wolfsburg,12.5,4.4,1.1,7.1,6.59
14. Bochum,12,4.8,0.7,6.4,6.59
15. Augsburg,11,3.9,1,6.1,6.52
16. Arminia Bielefeld,10.7,4.8,0.4,5.5,6.50
17. Hertha Berlin,11.1,3.9,0.7,6.5,6.47
18. Greuther Fuerth,9.5,3.5,0.7,5.3,6.40
