Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,8.2,18.1,14.4,13,3.5,7.31
2. Bayer Leverkusen,12.2,22.9,21.1,15.3,2.9,7.12
3. Borussia Dortmund,9.7,25.4,16.9,13.4,2.8,7.10
4. Freiburg,12.2,20.4,21.3,15.2,2.7,7.03
5. Schalke 04,11.2,24.3,20.8,14.8,1.9,6.95
6. Wolfsburg,12.4,24.1,19.7,17.5,2.9,6.93
7. Hamburger SV,15.3,22.6,21.7,17.7,2.9,6.91
8. Eintracht Frankfurt,12.8,21.3,18.1,15.4,3.5,6.90
9. Mainz 05,12.1,23.7,19.9,15.1,3.5,6.90
10. Borussia M.Gladbach,15.3,20,15.5,13.4,2.7,6.86
11. Werder Bremen,11.7,24.1,19.8,16.1,1.7,6.85
12. Nuernberg,13.4,21.7,15.7,17.1,1.8,6.82
13. VfB Stuttgart,14.7,25.8,20.9,16.5,3,6.81
14. Hannover 96,15.1,19.9,18.2,15.7,2.1,6.77
15. Augsburg,12.1,22.9,19.3,16.6,2.2,6.77
16. Fortuna Duesseldorf,14.2,25.8,19.9,15.2,2.5,6.74
17. Hoffenheim,13.1,24.1,17.8,17,3.4,6.74
18. Greuther Fuerth,13.7,26.2,18,19.1,3.1,6.65
