R,Team,Left Side,Attempts from the middle,Right Side
1,Hamburger SV,26%,58%,16%
2,Freiburg,25%,60%,15%
3,Borussia M.Gladbach,24%,60%,16%
4,Augsburg,23%,56%,21%
5,Greuther Fuerth,22%,56%,23%
6,Fortuna Duesseldorf,22%,61%,17%
7,Hoffenheim,22%,55%,23%
8,Nuernberg,22%,56%,22%
9,Eintracht Frankfurt,21%,61%,18%
10,Wolfsburg,20%,64%,16%
11,Werder Bremen,19%,59%,22%
12,Borussia Dortmund,18%,69%,13%
13,Schalke 04,17%,66%,17%
14,VfB Stuttgart,17%,62%,21%
15,Mainz 05,16%,70%,13%
16,Bayer Leverkusen,15%,69%,16%
17,Bayern Munich,15%,68%,17%
18,Hannover 96,12%,71%,17%
