Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,17.1,5.7,1.4,10.1,7.31
2. Bayer Leverkusen,16.4,6.1,0.9,9.5,7.12
3. Borussia Dortmund,16.1,5.8,1.1,9.2,7.10
4. Freiburg,13.1,5.3,0.9,7,7.03
5. Schalke 04,14.6,5.4,0.8,8.5,6.95
6. Wolfsburg,11.4,4.9,1,5.5,6.93
7. Hamburger SV,12.9,5.4,0.7,6.8,6.91
8. Eintracht Frankfurt,12.6,5.4,0.7,6.5,6.90
9. Mainz 05,10.8,5,0.6,5.2,6.90
10. Borussia M.Gladbach,10.4,4.5,0.7,5.3,6.86
11. Werder Bremen,14.6,5.9,0.8,8.1,6.85
12. Nuernberg,11.1,4.5,0.4,6.3,6.82
13. VfB Stuttgart,11.3,4.3,1,6,6.81
14. Hannover 96,10.6,3.9,0.9,5.9,6.77
15. Augsburg,13.9,6.4,0.5,7,6.77
16. Hoffenheim,12.3,5.7,0.6,6,6.74
17. Fortuna Duesseldorf,9.3,4.1,0.6,4.7,6.74
18. Greuther Fuerth,10.9,4.6,0.8,5.5,6.65
