R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Fortuna Duesseldorf,23,2,74,443
2,Greuther Fuerth,21,2,69,424
3,Hoffenheim,20,1,72,406
4,Borussia M.Gladbach,27,2,76,401
5,Bayer Leverkusen,23,2,69,384
6,Augsburg,18,2,69,379
7,Hannover 96,23,2,71,376
8,Nuernberg,22,1,67,376
9,VfB Stuttgart,21,2,65,367
10,Wolfsburg,19,2,63,362
11,Schalke 04,17,1,65,362
12,Werder Bremen,16,2,66,354
13,Mainz 05,23,1,73,350
14,Borussia Dortmund,17,2,66,329
15,Freiburg,17,2,73,327
16,Eintracht Frankfurt,19,2,66,320
17,Hamburger SV,23,2,72,316
18,Bayern Munich,15,1,58,287
