Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,17.1,7.5,13.4,15,7.31
2. Bayer Leverkusen,16.4,6.5,13.1,13.1,7.12
3. Borussia Dortmund,16.1,6.5,11.5,15.4,7.10
4. Freiburg,13.1,4.8,15.9,16.7,7.03
5. Schalke 04,14.6,5.8,13.6,13.3,6.95
6. Wolfsburg,11.4,4.4,12.5,15.5,6.93
7. Hamburger SV,12.9,4.8,12,13.2,6.91
8. Eintracht Frankfurt,12.6,3.9,11.2,15.9,6.90
9. Mainz 05,10.8,3.4,11.5,14.5,6.90
10. Borussia M.Gladbach,10.4,3.7,10.9,13.2,6.86
11. Werder Bremen,14.6,4.9,13.1,15.3,6.85
12. Nuernberg,11.1,3.9,11.6,16.6,6.82
13. VfB Stuttgart,11.3,4.3,11.9,15.6,6.81
14. Hannover 96,10.6,4.1,7.6,14.4,6.77
15. Augsburg,13.9,4.4,10.2,15.5,6.77
16. Fortuna Duesseldorf,9.3,3.1,9.6,16.6,6.74
17. Hoffenheim,12.3,4.5,12.3,16.1,6.74
18. Greuther Fuerth,10.9,3.6,9.9,14.7,6.65
