R,Team,Own Third,Middle Third,Opposition Third
1,Borussia M.Gladbach,30%,47%,22%
2,Wolfsburg,28%,46%,27%
3,VfB Stuttgart,28%,46%,26%
4,Hannover 96,28%,46%,26%
5,Greuther Fuerth,28%,48%,26%
6,Nuernberg,28%,46%,26%
7,Mainz 05,28%,46%,26%
8,Fortuna Duesseldorf,28%,48%,23%
9,Hamburger SV,27%,47%,25%
10,Eintracht Frankfurt,27%,46%,28%
11,Hoffenheim,27%,47%,25%
12,Bayer Leverkusen,26%,47%,27%
13,Werder Bremen,26%,45%,28%
14,Freiburg,26%,44%,30%
15,Augsburg,25%,46%,28%
16,Schalke 04,24%,48%,28%
17,Bayern Munich,23%,46%,32%
18,Borussia Dortmund,23%,48%,29%
