R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,26,3,77,532
2,Borussia Dortmund,17,2,67,442
3,Schalke 04,22,3,67,405
4,Borussia M.Gladbach,15,2,67,402
5,Bayer Leverkusen,20,2,63,380
6,Hamburger SV,20,2,77,379
7,Freiburg,19,2,67,378
8,Eintracht Frankfurt,22,2,68,371
9,Wolfsburg,24,3,71,359
10,Werder Bremen,26,2,59,355
11,Mainz 05,17,2,74,354
12,VfB Stuttgart,22,2,76,345
13,Hoffenheim,16,2,68,332
14,Hannover 96,20,1,64,331
15,Augsburg,24,2,76,320
16,Fortuna Duesseldorf,18,1,64,305
17,Nuernberg,23,1,64,294
18,Greuther Fuerth,15,1,66,279
