R,Team,Left Side,Middle of the pitch,Right Side
1,Hamburger SV,41%,25%,34%
2,Freiburg,41%,25%,34%
3,VfB Stuttgart,39%,23%,39%
4,Borussia M.Gladbach,38%,25%,36%
5,Fortuna Duesseldorf,38%,24%,37%
6,Greuther Fuerth,37%,28%,34%
7,Nuernberg,37%,24%,39%
8,Hoffenheim,37%,27%,36%
9,Augsburg,37%,27%,36%
10,Mainz 05,36%,31%,33%
11,Bayern Munich,35%,26%,39%
12,Hannover 96,35%,24%,42%
13,Werder Bremen,35%,25%,40%
14,Wolfsburg,34%,27%,39%
15,Eintracht Frankfurt,34%,26%,40%
16,Borussia Dortmund,33%,31%,36%
17,Bayer Leverkusen,30%,29%,41%
18,Schalke 04,29%,29%,42%
