R,Team,Left Side,Attempts from the middle,Right Side
1,Wolfsburg,22%,57%,21%
2,Hamburger SV,22%,62%,16%
3,Greuther Fuerth,22%,62%,15%
4,Bayer Leverkusen,21%,59%,20%
5,Werder Bremen,21%,66%,13%
6,Schalke 04,20%,66%,14%
7,Borussia Dortmund,20%,60%,20%
8,Freiburg,20%,64%,16%
9,Borussia M.Gladbach,20%,60%,21%
10,Mainz 05,20%,64%,16%
11,Bayern Munich,19%,57%,24%
12,Hannover 96,19%,61%,20%
13,Fortuna Duesseldorf,19%,65%,16%
14,Hoffenheim,19%,65%,17%
15,VfB Stuttgart,18%,65%,16%
16,Nuernberg,18%,65%,17%
17,Augsburg,17%,66%,16%
18,Eintracht Frankfurt,16%,60%,24%
