Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,82,12.7,613,61.0,88.0,14.6,7.09
2. Marseille,67,14.8,635,56.4,83.8,15.6,7.03
3. Lyon,70,13.6,641,56.3,83.5,13.3,6.98
4. Monaco,52,11.9,585,51.6,79.8,16.8,6.97
5. Saint-Etienne,53,11.7,662,50.5,77.7,19.4,6.90
6. Montpellier,46,10.4,511,47.5,72.6,18.3,6.90
7. Caen,53,12.1,436,44.7,71.6,21.3,6.87
8. Lille,43,12.2,634,52.5,80.4,16.8,6.83
9. Lorient,43,12.8,542,50.2,78.7,16,6.81
10. Bordeaux,48,12.8,625,53.1,80.8,17.4,6.80
11. Nantes,28,11.2,713,48.1,75.6,20.3,6.79
12. Nice,46,11,856,50.3,76.2,17.1,6.79
13. Rennes,35,9.6,561,49.8,79.5,16.5,6.75
14. Toulouse,44,11.3,615,49.5,72.9,17.8,6.74
15. SC Bastia,37,8.4,755,47.3,73.3,18.4,6.74
16. Guingamp,40,9.4,597,44.1,70.9,17.3,6.71
17. Reims,47,11.6,764,49.3,76.8,16.5,6.71
18. Metz,34,11.8,723,44.7,70.5,21.3,6.70
19. Lens,33,10.6,695,47.3,72.6,20.4,6.67
20. Thonon Evian Grand Geneve,40,8.8,694,46.0,71.2,17.4,6.67
