R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,18,3,51,580
2,Lyon,16,2,62,449
3,Lille,20,1,60,399
4,Monaco,21,2,61,393
5,Lorient,20,1,77,385
6,Bordeaux,22,0,72,383
7,Rennes,17,1,70,377
8,Marseille,26,1,62,375
9,Saint-Etienne,22,1,67,354
10,Reims,19,1,64,342
11,Nice,23,1,65,333
12,Toulouse,20,2,70,332
13,Nantes,20,1,68,329
14,Lens,20,1,67,316
15,Montpellier,19,1,73,309
16,SC Bastia,18,0,75,301
17,Thonon Evian Grand Geneve,19,1,75,289
18,Metz,18,0,77,283
19,Caen,25,1,68,282
20,Guingamp,21,1,67,275
