Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,10,20.6,16.5,11.5,3.2,7.09
2. Marseille,11.3,19.9,15.6,14,3.3,7.03
3. Lyon,10.7,19.2,11.7,15.2,2.1,6.98
4. Monaco,9.8,20.1,19.9,13.3,2.1,6.97
5. Saint-Etienne,10.1,19,13.3,14.7,2.3,6.90
6. Montpellier,11.7,21.9,20.9,13.7,2.1,6.90
7. Caen,13.6,22.9,19,11.8,2.3,6.87
8. Lille,10,17.6,17.2,12.2,1.5,6.83
9. Lorient,11.8,16.4,15.8,12,2.1,6.81
10. Bordeaux,10.3,19.2,13.6,13.2,2.1,6.80
11. Nantes,10.3,20.8,18,15,2.2,6.79
12. Nice,11.5,22.6,23.6,14.4,2.2,6.79
13. Rennes,11.7,18.5,17.2,12.8,2.3,6.75
14. Toulouse,11.8,19.6,20.6,15.3,2.2,6.74
15. SC Bastia,12.4,19.9,15.3,14.8,2.6,6.74
16. Guingamp,12.6,20.6,18.5,12.5,2.3,6.71
17. Reims,12.9,18.4,16,14.3,1.9,6.71
18. Metz,12.2,22.3,16.4,15.8,2.3,6.70
19. Lens,12.6,21.4,14.8,14.5,1.7,6.67
20. Thonon Evian Grand Geneve,11.6,20.1,19.2,14,2,6.67
