R,Team,Fouls,Unprofessional,Dive,Other
1,Nice,66,10,0,17
2,Reims,63,3,1,14
3,Lens,62,4,2,10
4,SC Bastia,60,10,0,13
5,Metz,58,3,3,13
6,Marseille,53,3,1,15
7,Nantes,53,5,0,17
8,Thonon Evian Grand Geneve,53,2,2,17
9,Saint-Etienne,51,6,0,13
10,Lyon,50,2,0,13
11,Lille,50,2,1,14
12,Bordeaux,47,7,1,14
13,Toulouse,46,3,0,18
14,Rennes,44,4,0,9
15,Paris Saint-Germain,44,5,0,18
16,Monaco,43,3,3,16
17,Guingamp,42,6,0,19
18,Lorient,40,3,0,14
19,Montpellier,37,3,0,12
20,Caen,35,0,1,13
