R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Caen,8%,55%,38%
2,Monaco,7%,50%,43%
3,Bordeaux,7%,54%,39%
4,Nantes,7%,52%,41%
5,Thonon Evian Grand Geneve,7%,56%,37%
6,Lorient,6%,54%,40%
7,Lyon,6%,55%,38%
8,SC Bastia,6%,48%,47%
9,Nice,6%,55%,39%
10,Guingamp,6%,46%,47%
11,Lille,6%,55%,39%
12,Reims,6%,57%,37%
13,Saint-Etienne,5%,55%,40%
14,Marseille,5%,46%,49%
15,Lens,5%,54%,41%
16,Rennes,5%,45%,50%
17,Montpellier,5%,49%,46%
18,Metz,5%,56%,38%
19,Toulouse,4%,51%,45%
20,Paris Saint-Germain,3%,44%,54%
