R,Team,Left Side,Middle of the pitch,Right Side
1,Lens,43%,24%,33%
2,Caen,42%,24%,35%
3,Lorient,39%,23%,38%
4,Marseille,39%,26%,35%
5,Toulouse,39%,24%,37%
6,Nantes,39%,24%,37%
7,Thonon Evian Grand Geneve,38%,23%,40%
8,Saint-Etienne,37%,24%,40%
9,Paris Saint-Germain,37%,29%,34%
10,SC Bastia,37%,24%,39%
11,Nice,37%,26%,37%
12,Monaco,36%,26%,37%
13,Rennes,36%,26%,38%
14,Lille,36%,26%,38%
15,Montpellier,35%,27%,38%
16,Bordeaux,35%,30%,35%
17,Reims,35%,23%,42%
18,Lyon,34%,28%,38%
19,Metz,34%,27%,39%
20,Guingamp,31%,28%,41%
