R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,53,2,11,13,2
2,Marseille,44,4,17,2,5
3,Lyon,42,5,13,9,3
4,Saint-Etienne,36,0,9,5,1
5,Montpellier,33,3,6,3,1
6,Monaco,32,4,9,5,1
7,Lille,31,1,5,5,1
8,Caen,30,1,15,6,2
9,Toulouse,29,3,7,3,1
10,Bordeaux,29,2,7,8,1
11,Lorient,25,3,8,5,3
12,Guingamp,23,4,6,7,1
13,Rennes,22,3,7,1,2
14,Thonon Evian Grand Geneve,22,3,11,1,4
15,Lens,21,3,3,5,0
16,Reims,21,3,18,3,2
17,Nice,20,4,16,4,0
18,Metz,18,1,4,8,0
19,Nantes,15,0,7,4,3
20,SC Bastia,15,5,10,5,2
