R,Team,Left Side,Attempts from the middle,Right Side
1,Lyon,25%,59%,15%
2,Rennes,23%,61%,16%
3,Lens,21%,63%,16%
4,Lorient,20%,61%,19%
5,Marseille,20%,65%,16%
6,Metz,20%,62%,18%
7,Montpellier,20%,63%,17%
8,Caen,20%,67%,14%
9,Saint-Etienne,19%,61%,20%
10,Paris Saint-Germain,19%,62%,19%
11,Lille,19%,62%,19%
12,Reims,19%,59%,21%
13,Toulouse,18%,61%,21%
14,Monaco,18%,61%,20%
15,Nice,18%,64%,18%
16,Nantes,17%,59%,24%
17,Guingamp,17%,65%,18%
18,SC Bastia,16%,68%,16%
19,Thonon Evian Grand Geneve,14%,68%,18%
20,Bordeaux,13%,68%,19%
