R,Team,Left Side,Middle of the pitch,Right Side
1,Aston Villa,40%,26%,35%
2,Manchester City,39%,25%,36%
3,Blackburn,38%,32%,30%
4,Everton,37%,30%,33%
5,Wolverhampton Wanderers,37%,27%,36%
6,Chelsea,36%,33%,31%
7,Sunderland,36%,29%,35%
8,Stoke,36%,29%,35%
9,Tottenham,36%,30%,34%
10,Birmingham,36%,26%,38%
11,Manchester United,34%,30%,36%
12,Wigan,34%,29%,37%
13,West Ham,33%,32%,34%
14,Hull,33%,30%,37%
15,Arsenal,32%,30%,38%
16,Bolton,32%,33%,35%
17,Portsmouth,32%,30%,38%
18,Liverpool,31%,26%,43%
19,Burnley,31%,25%,44%
20,Fulham,28%,30%,42%
