R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Fulham,24,4,87,364
2,Hull,26,5,66,355
3,West Ham,25,4,73,348
4,Birmingham,28,3,77,348
5,Stoke,25,4,72,348
6,Bolton,26,4,75,342
7,Portsmouth,28,4,68,341
8,Aston Villa,22,4,65,340
9,Sunderland,23,3,70,337
10,Blackburn,23,4,70,336
11,Wolverhampton Wanderers,27,4,74,335
12,Manchester City,22,3,64,331
13,Burnley,23,6,67,325
14,Tottenham,21,3,66,321
15,Everton,24,3,67,319
16,Manchester United,18,3,65,314
17,Wigan,21,4,61,308
18,Arsenal,17,3,65,292
19,Liverpool,17,3,69,289
20,Chelsea,20,2,70,282
