Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Chelsea,103,21.9,545,56.9,82.5,11.6,7.30
2. Tottenham,67,17.9,581,52.2,76.1,18.2,7.19
3. Manchester United,86,18.3,494,55.6,79.9,13.2,7.19
4. Arsenal,83,17.4,561,57.0,80.8,14.4,7.17
5. Aston Villa,52,13.1,592,48.5,71.8,18.8,7.06
6. Manchester City,73,13.8,492,52.2,76.0,12.7,7.06
7. Liverpool,60,16.9,555,55.8,78.5,13,7.04
8. Everton,60,15.5,572,51.2,75.0,16.2,7.00
9. Birmingham,38,11.9,741,47.7,67.2,16.9,6.91
10. Sunderland,48,11.7,779,47.3,65.9,18.9,6.89
11. West Ham,47,14.4,623,49.4,74.9,15.3,6.88
12. Fulham,39,12.2,461,49.9,73.8,15.5,6.86
13. Bolton,42,14.7,745,45.1,63.7,20.1,6.85
14. Stoke,34,10.6,635,43.4,62.2,19.6,6.82
15. Wigan,37,14.6,653,51.4,74.3,14.9,6.81
16. Blackburn,41,12.9,572,45.9,63.8,21.2,6.80
17. Portsmouth,37,14,685,48.4,73.6,13.7,6.72
18. Wolverhampton Wanderers,31,11.5,634,47.6,67.3,15,6.71
19. Burnley,42,12.1,572,49.2,68.7,15.2,6.67
20. Hull,39,10.2,646,45.4,66.7,16.2,6.64
