R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Chelsea,63,8,17,11,4
2,Manchester United,51,6,13,6,10
3,Arsenal,49,9,16,3,6
4,Tottenham,42,6,17,2,0
5,Liverpool,37,4,14,3,3
6,Manchester City,37,10,21,5,0
7,Everton,32,2,17,5,4
8,Burnley,30,2,4,6,0
9,Sunderland,25,6,9,6,2
10,Fulham,25,0,9,4,1
11,Wigan,24,1,10,1,1
12,Aston Villa,23,4,16,5,4
13,West Ham,22,0,18,7,0
14,Bolton,18,0,20,4,0
15,Birmingham,17,4,14,2,1
16,Portsmouth,17,2,12,3,0
17,Stoke,16,1,14,2,1
18,Hull,15,1,12,6,0
19,Wolverhampton Wanderers,14,0,12,2,4
20,Blackburn,13,2,21,3,2
