R,Team,Own Third,Middle Third,Opposition Third
1,Portsmouth,32%,40%,28%
2,West Ham,31%,43%,26%
3,Birmingham,31%,40%,29%
4,Bolton,31%,40%,31%
5,Stoke,31%,41%,29%
6,Fulham,31%,43%,26%
7,Hull,31%,42%,28%
8,Sunderland,30%,42%,28%
9,Aston Villa,30%,42%,29%
10,Blackburn,30%,39%,31%
11,Wolverhampton Wanderers,30%,39%,31%
12,Everton,29%,41%,30%
13,Wigan,29%,43%,27%
14,Burnley,29%,41%,28%
15,Tottenham,28%,43%,28%
16,Manchester City,28%,44%,27%
17,Liverpool,27%,41%,32%
18,Arsenal,25%,44%,31%
19,Chelsea,25%,44%,32%
20,Manchester United,25%,43%,32%
