R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,22,8,51,504
2,Arsenal,24,8,51,501
3,Swansea,19,3,65,497
4,Manchester United,27,3,66,478
5,Tottenham,22,4,71,458
6,Chelsea,26,4,61,444
7,Liverpool,29,3,67,441
8,Fulham,17,2,63,419
9,Wigan,20,1,66,362
10,Everton,23,2,65,348
11,West Bromwich Albion,21,2,58,345
12,Norwich,23,1,75,339
13,Wolverhampton Wanderers,26,1,69,336
14,Newcastle United,19,3,67,331
15,Sunderland,23,1,68,312
16,Bolton,20,3,68,303
17,Queens Park Rangers,21,1,68,298
18,Aston Villa,22,2,63,297
19,Blackburn,16,2,67,274
20,Stoke,22,1,68,229
