R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Aston Villa,11%,47%,41%
2,Bolton,10%,54%,36%
3,Tottenham,10%,45%,45%
4,Blackburn,9%,49%,41%
5,Swansea,8%,51%,41%
6,Wigan,8%,50%,43%
7,Queens Park Rangers,8%,51%,40%
8,Arsenal,7%,51%,43%
9,Chelsea,7%,47%,45%
10,Newcastle United,7%,50%,42%
11,Manchester City,7%,42%,50%
12,Norwich,7%,53%,40%
13,Fulham,7%,46%,48%
14,Liverpool,6%,41%,52%
15,Everton,6%,49%,45%
16,Wolverhampton Wanderers,6%,51%,43%
17,Manchester United,6%,43%,51%
18,Sunderland,5%,46%,49%
19,Stoke,5%,42%,53%
20,West Bromwich Albion,5%,51%,44%
