R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Wolverhampton Wanderers,52,6,17,5,2
2,Norwich,52,2,6,5,1
3,Bolton,47,7,20,2,1
4,Blackburn,47,5,19,2,3
5,Queens Park Rangers,43,1,17,3,2
6,Wigan,40,2,15,4,1
7,Swansea,35,0,13,1,2
8,Fulham,33,1,12,3,2
9,Stoke,31,1,11,7,3
10,Arsenal,29,3,9,3,5
11,Sunderland,29,2,11,3,1
12,West Bromwich Albion,29,8,5,7,3
13,Chelsea,28,2,11,4,1
14,Newcastle United,28,5,11,7,0
15,Tottenham,26,2,11,1,1
16,Everton,25,2,9,1,3
17,Aston Villa,24,2,19,6,2
18,Liverpool,23,0,10,4,3
19,Manchester City,19,1,5,2,2
20,Manchester United,17,2,10,2,2
