R,Team,Fouls,Unprofessional,Dive,Other
1,Chelsea,59,5,1,14
2,Aston Villa,56,3,1,13
3,Sunderland,53,4,1,8
4,Blackburn,53,4,0,16
5,Wigan,52,3,1,15
6,Arsenal,51,6,1,13
7,Everton,51,3,0,8
8,Stoke,51,2,0,9
9,Wolverhampton Wanderers,50,4,1,14
10,Newcastle United,48,9,0,13
11,Queens Park Rangers,45,7,0,14
12,Norwich,44,2,1,15
13,Manchester City,43,3,3,11
14,Manchester United,43,1,0,8
15,Liverpool,42,5,4,9
16,Tottenham,41,0,2,5
17,Fulham,40,4,0,10
18,Bolton,39,1,1,15
19,West Bromwich Albion,38,3,2,7
20,Swansea,30,4,0,9
