R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Stoke,16%,47%,37%
2,Blackburn,9%,44%,47%
3,Manchester United,9%,52%,39%
4,Arsenal,8%,57%,35%
5,Norwich,8%,46%,45%
6,Manchester City,8%,53%,39%
7,West Bromwich Albion,8%,47%,45%
8,Wolverhampton Wanderers,8%,51%,41%
9,Sunderland,7%,46%,47%
10,Aston Villa,7%,52%,41%
11,Liverpool,7%,51%,42%
12,Swansea,7%,46%,47%
13,Queens Park Rangers,7%,38%,55%
14,Chelsea,6%,46%,48%
15,Newcastle United,6%,45%,48%
16,Everton,6%,51%,43%
17,Tottenham,6%,47%,47%
18,Fulham,6%,47%,48%
19,Wigan,6%,45%,50%
20,Bolton,4%,51%,45%
