R,Team,Left Side,Attempts from the middle,Right Side
1,Wigan,25%,57%,18%
2,Bolton,21%,60%,19%
3,West Bromwich Albion,21%,59%,20%
4,Sunderland,20%,64%,16%
5,Newcastle United,20%,66%,14%
6,Manchester City,20%,62%,18%
7,Aston Villa,19%,66%,15%
8,Tottenham,19%,65%,17%
9,Norwich,19%,68%,13%
10,Fulham,19%,67%,14%
11,Wolverhampton Wanderers,19%,66%,15%
12,Chelsea,18%,59%,23%
13,Swansea,18%,64%,17%
14,Queens Park Rangers,18%,63%,18%
15,Arsenal,17%,65%,18%
16,Blackburn,16%,68%,15%
17,Liverpool,16%,66%,18%
18,Stoke,16%,69%,15%
19,Manchester United,16%,70%,14%
20,Everton,13%,73%,14%
