R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Fulham,24,2,66,426
2,Sunderland,23,2,65,419
3,Blackburn,31,2,68,410
4,West Bromwich Albion,25,2,75,408
5,Norwich,24,4,70,403
6,Aston Villa,25,3,67,396
7,Stoke,22,3,69,395
8,Queens Park Rangers,24,3,65,394
9,Newcastle United,22,3,63,387
10,Everton,21,3,71,387
11,Wolverhampton Wanderers,23,4,67,381
12,Bolton,23,4,66,372
13,Wigan,22,3,60,370
14,Liverpool,16,2,67,352
15,Swansea,25,2,50,346
16,Tottenham,19,2,60,344
17,Chelsea,18,3,65,343
18,Manchester City,19,2,62,336
19,Manchester United,19,2,61,335
20,Arsenal,18,3,58,310
