R,Team,Left Side,Attempts from the middle,Right Side
1,Chelsea,22%,59%,19%
2,Manchester City,21%,63%,16%
3,Stoke,21%,64%,15%
4,Fulham,21%,64%,15%
5,Wolverhampton Wanderers,20%,62%,18%
6,Arsenal,19%,62%,19%
7,Aston Villa,19%,64%,16%
8,Blackburn,19%,65%,16%
9,Manchester United,19%,63%,18%
10,Liverpool,18%,69%,13%
11,Everton,18%,64%,17%
12,Swansea,18%,64%,18%
13,Sunderland,17%,64%,19%
14,Newcastle United,17%,70%,13%
15,Tottenham,17%,67%,17%
16,Wigan,17%,68%,15%
17,Queens Park Rangers,17%,65%,17%
18,Bolton,16%,66%,18%
19,Norwich,16%,62%,22%
20,West Bromwich Albion,16%,71%,13%
