R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Werder Bremen,9%,48%,43%
2,Schalke 04,8%,51%,41%
3,Wolfsburg,7%,48%,45%
4,Hamburger SV,7%,45%,47%
5,Eintracht Frankfurt,7%,54%,38%
6,Eintracht Braunschweig,7%,42%,51%
7,Bayern Munich,6%,61%,33%
8,Freiburg,6%,50%,44%
9,VfB Stuttgart,6%,49%,44%
10,Mainz 05,6%,54%,40%
11,Bayer Leverkusen,5%,52%,42%
12,Borussia Dortmund,5%,57%,38%
13,Hertha Berlin,5%,53%,41%
14,Hoffenheim,5%,51%,44%
15,Augsburg,5%,48%,46%
16,Nuernberg,5%,54%,41%
17,Hannover 96,4%,53%,43%
18,Borussia M.Gladbach,4%,53%,43%
