R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Werder Bremen,22,1,75,414
2,Eintracht Braunschweig,19,1,78,414
3,Mainz 05,20,1,76,413
4,Hertha Berlin,12,1,63,411
5,VfB Stuttgart,17,2,72,405
6,Borussia M.Gladbach,21,1,72,405
7,Freiburg,16,1,78,392
8,Hoffenheim,15,1,77,387
9,Hannover 96,16,1,77,384
10,Schalke 04,17,1,73,383
11,Augsburg,15,1,73,378
12,Hamburger SV,17,1,71,377
13,Eintracht Frankfurt,14,1,68,376
14,Bayer Leverkusen,21,1,69,375
15,Nuernberg,18,2,69,365
16,Borussia Dortmund,13,1,74,363
17,Wolfsburg,13,1,69,339
18,Bayern Munich,11,1,61,232
