Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Inter,68,17.1,611,56.9,85.9,15.3,6.82
2. AC Milan,58,15.6,633,54.9,83.7,14.1,6.79
3. Juventus,50,14.5,612,53.2,84.8,15.2,6.75
4. Napoli,59,15.4,562,58.5,86.9,10.9,6.75
5. Roma,54,15.4,928,51.3,82.8,14.5,6.72
6. Atalanta,54,15,692,54.2,81.7,18.1,6.72
7. Lazio,65,11.3,725,54.9,87.1,10.9,6.69
8. Torino,36,12.8,743,53.7,78.6,21,6.64
9. Verona,58,12.3,747,50.9,77.0,17.6,6.61
10. Sassuolo,58,15,783,55.4,84.9,9.8,6.61
11. Fiorentina,53,13.8,628,57.0,85.2,12.7,6.60
12. Bologna,35,11.6,757,49.9,80.9,13.2,6.57
13. Udinese,47,13.1,766,41.5,78.0,12.5,6.55
14. Sampdoria,40,10.5,803,46.4,77.8,16.4,6.53
15. Empoli,42,13.4,713,48.0,79.1,11.9,6.52
16. Spezia,33,10.2,774,43.5,77.2,13.7,6.50
17. Cagliari,31,10.6,814,43.2,75.3,17.5,6.48
18. Genoa,24,10,783,42.8,74.1,16.4,6.47
19. Venezia,26,9.3,917,41.5,77.6,14.5,6.43
20. Salernitana,26,10.2,754,39.5,76.3,16.5,6.38
