Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Inter,17.1,6.4,6.5,10.9,6.82
2. AC Milan,15.6,4.8,12,13.6,6.79
3. Juventus,14.5,4.8,9.7,13.3,6.75
4. Napoli,15.4,5.2,9.4,12.8,6.75
5. Roma,15.4,5.1,8.8,12.6,6.72
6. Atalanta,15,4.5,9.9,12.5,6.72
7. Lazio,11.3,4.8,8.8,11.5,6.69
8. Torino,12.8,4.1,7.8,12.1,6.64
9. Verona,12.3,4.2,8.7,11.1,6.61
10. Sassuolo,15,5.6,10.8,12.8,6.61
11. Fiorentina,13.8,5.1,7.8,14.8,6.60
12. Bologna,11.6,3.8,8.7,13.3,6.57
13. Udinese,13.1,4.6,9.9,12.6,6.55
14. Sampdoria,10.5,3.3,6,13.7,6.53
15. Empoli,13.4,4.3,8,12.8,6.52
16. Spezia,10.2,3.6,8,11.7,6.50
17. Cagliari,10.6,3.2,6.7,12.8,6.48
18. Genoa,10,2.9,8.3,13.2,6.47
19. Venezia,9.3,3.1,8,11.7,6.43
20. Salernitana,10.2,3.2,7.6,13.7,6.38
