R,Team,Own Third,Middle Third,Opposition Third
1,Venezia,34%,43%,25%
2,Spezia,31%,43%,25%
3,Sassuolo,31%,43%,26%
4,Bologna,30%,43%,26%
5,Sampdoria,30%,44%,26%
6,Cagliari,30%,45%,26%
7,Juventus,29%,45%,27%
8,Salernitana,29%,45%,26%
9,Genoa,29%,44%,27%
10,Empoli,29%,41%,30%
11,Inter,27%,42%,30%
12,Verona,27%,45%,28%
13,Lazio,27%,45%,28%
14,Udinese,27%,46%,26%
15,Fiorentina,26%,43%,30%
16,Roma,26%,45%,29%
17,AC Milan,26%,44%,30%
18,Torino,25%,44%,31%
19,Napoli,25%,45%,29%
20,Atalanta,24%,44%,32%
