R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Roma,12%,54%,34%
2,Venezia,10%,51%,39%
3,Torino,9%,55%,36%
4,Inter,9%,61%,30%
5,Cagliari,9%,54%,37%
6,Verona,9%,58%,33%
7,Fiorentina,8%,59%,33%
8,Juventus,8%,56%,37%
9,Lazio,8%,56%,36%
10,Empoli,7%,56%,37%
11,Napoli,7%,52%,41%
12,Atalanta,7%,61%,32%
13,Sampdoria,7%,57%,35%
14,Spezia,7%,51%,42%
15,Salernitana,7%,52%,42%
16,Udinese,6%,57%,37%
17,Sassuolo,6%,52%,42%
18,Bologna,5%,50%,45%
19,AC Milan,5%,55%,40%
20,Genoa,4%,52%,44%
