R,Team,Left Side,Attempts from the middle,Right Side
1,Udinese,26%,59%,15%
2,Bologna,22%,63%,15%
3,Sassuolo,22%,61%,17%
4,Empoli,22%,62%,16%
5,Verona,21%,64%,16%
6,Spezia,21%,60%,20%
7,Genoa,20%,65%,15%
8,Napoli,19%,63%,18%
9,AC Milan,18%,68%,14%
10,Juventus,18%,65%,16%
11,Lazio,18%,68%,14%
12,Venezia,17%,66%,17%
13,Roma,17%,69%,15%
14,Atalanta,17%,68%,16%
15,Salernitana,17%,70%,13%
16,Torino,16%,70%,14%
17,Fiorentina,16%,67%,17%
18,Inter,15%,71%,14%
19,Cagliari,15%,73%,12%
20,Sampdoria,13%,66%,21%
