R,Team,Left Side,Attempts from the middle,Right Side
1,Juventus,21%,63%,15%
2,Sampdoria,21%,62%,17%
3,Fiorentina,20%,64%,16%
4,Lazio,20%,65%,15%
5,Cagliari,20%,68%,12%
6,Venezia,20%,66%,14%
7,Empoli,20%,65%,15%
8,Atalanta,20%,62%,17%
9,Torino,19%,69%,12%
10,Verona,19%,68%,13%
11,Salernitana,18%,64%,18%
12,Napoli,18%,62%,20%
13,Spezia,18%,68%,15%
14,Bologna,17%,63%,20%
15,Inter,17%,66%,17%
16,AC Milan,17%,63%,20%
17,Roma,17%,66%,17%
18,Sassuolo,17%,71%,13%
19,Genoa,17%,68%,15%
20,Udinese,15%,71%,15%
