R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Lazio,15,1,48,527
2,Napoli,14,1,47,525
3,Inter,21,2,53,480
4,Atalanta,17,1,55,463
5,Sassuolo,14,2,54,450
6,Juventus,15,1,59,443
7,Fiorentina,20,1,65,440
8,AC Milan,18,1,53,429
9,Roma,19,1,57,399
10,Bologna,16,2,55,389
11,Torino,18,1,61,378
12,Verona,16,1,58,370
13,Empoli,20,1,50,356
14,Sampdoria,18,1,61,355
15,Spezia,14,1,60,322
16,Udinese,13,1,50,315
17,Genoa,17,1,58,314
18,Venezia,16,1,57,311
19,Cagliari,17,0,64,310
20,Salernitana,18,0,51,291
