R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Borussia Dortmund,10%,55%,35%
2,Greuther Fuerth,8%,52%,41%
3,Augsburg,8%,51%,41%
4,Schalke 04,7%,51%,42%
5,Hannover 96,7%,53%,41%
6,Fortuna Duesseldorf,7%,55%,38%
7,Hoffenheim,7%,46%,47%
8,Mainz 05,7%,53%,41%
9,Hamburger SV,6%,55%,39%
10,Nuernberg,6%,54%,40%
11,Werder Bremen,6%,52%,42%
12,Freiburg,6%,53%,41%
13,Borussia M.Gladbach,6%,47%,47%
14,Wolfsburg,5%,54%,41%
15,Bayer Leverkusen,5%,51%,44%
16,Bayern Munich,5%,42%,53%
17,Eintracht Frankfurt,5%,56%,40%
18,VfB Stuttgart,4%,54%,41%
