Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,98,17.1,351,60.6,87.3,14.9,7.31
2. Bayer Leverkusen,65,16.4,612,50.1,79.0,19.9,7.12
3. Borussia Dortmund,81,16.1,414,54.3,80.9,17.2,7.10
4. Freiburg,45,13.1,563,52.2,77.8,16.8,7.03
5. Schalke 04,58,14.6,543,51.9,79.4,17.1,6.95
6. Wolfsburg,47,11.4,594,50.5,79.4,17.1,6.93
7. Hamburger SV,42,12.9,674,52.7,77.5,20.8,6.91
8. Eintracht Frankfurt,49,12.6,603,52.4,78.0,19.5,6.90
9. Mainz 05,42,10.8,694,50.3,78.0,17.2,6.90
10. Borussia M.Gladbach,45,10.4,571,49.2,77.9,19.2,6.86
11. Werder Bremen,50,14.6,556,50.0,77.6,17.5,6.85
12. Nuernberg,39,11.1,682,46.5,75.5,16.1,6.82
13. VfB Stuttgart,35,11.3,717,49.5,77.2,16,6.81
14. Hannover 96,60,10.6,754,47.4,74.5,16.8,6.77
15. Augsburg,33,13.9,682,47.8,75.6,19.7,6.77
16. Fortuna Duesseldorf,39,9.3,763,44.0,75.0,14.3,6.74
17. Hoffenheim,42,12.3,725,46.7,75.4,17,6.74
18. Greuther Fuerth,26,10.9,736,43.8,72.5,14.5,6.65
