R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hoffenheim,41,2,20,3,1
2,Hannover 96,38,9,10,3,2
3,Werder Bremen,38,7,16,4,1
4,Fortuna Duesseldorf,36,7,9,2,3
5,VfB Stuttgart,35,6,9,3,2
6,Greuther Fuerth,34,10,11,4,1
7,Hamburger SV,32,4,15,2,0
8,Nuernberg,30,4,7,4,2
9,Augsburg,30,3,14,3,1
10,Borussia M.Gladbach,28,6,7,6,2
11,Schalke 04,27,9,10,4,0
12,Mainz 05,27,5,6,2,4
13,Wolfsburg,26,6,13,5,2
14,Eintracht Frankfurt,25,10,9,2,0
15,Freiburg,24,3,7,4,2
16,Borussia Dortmund,21,5,13,3,0
17,Bayer Leverkusen,18,5,7,7,2
18,Bayern Munich,7,2,7,2,0
