R,Team,Left Side,Attempts from the middle,Right Side
1,Athletic Bilbao,23%,59%,17%
2,Atletico Madrid,23%,60%,17%
3,Barcelona,22%,60%,18%
4,Real Madrid,21%,60%,19%
5,Sevilla,21%,61%,18%
6,Real Sociedad,21%,63%,16%
7,Getafe,21%,65%,14%
8,Eibar,21%,60%,19%
9,Deportivo La Coruna,20%,63%,17%
10,Valencia,20%,65%,15%
11,Elche,20%,61%,19%
12,Granada,20%,62%,18%
13,Cordoba,19%,65%,16%
14,Espanyol,18%,64%,18%
15,Rayo Vallecano,17%,69%,14%
16,Malaga,17%,69%,14%
17,Almeria,17%,62%,21%
18,Levante,17%,66%,17%
19,Villarreal,16%,63%,21%
20,Celta Vigo,15%,67%,18%
