R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Levante,49,2,11,4,1
2,Granada,46,2,10,4,2
3,Almeria,44,3,14,1,2
4,Rayo Vallecano,43,5,12,6,2
5,Getafe,40,3,13,8,0
6,Cordoba,39,1,19,6,3
7,Elche,39,2,12,7,2
8,Deportivo La Coruna,37,5,12,4,2
9,Espanyol,32,4,15,0,0
10,Eibar,32,4,14,5,0
11,Real Sociedad,31,2,11,5,2
12,Athletic Bilbao,28,3,6,2,2
13,Celta Vigo,25,4,9,5,1
14,Real Madrid,24,1,9,4,0
15,Malaga,24,5,16,3,0
16,Villarreal,23,3,7,3,1
17,Sevilla,21,3,12,8,1
18,Atletico Madrid,18,1,5,3,2
19,Valencia,15,3,9,4,1
20,Barcelona,8,5,2,4,2
