R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Barcelona,20,6,53,628
2,Real Madrid,26,4,56,477
3,Celta Vigo,19,3,70,423
4,Rayo Vallecano,25,1,75,388
5,Athletic Bilbao,26,3,73,362
6,Atletico Madrid,24,2,60,352
7,Villarreal,19,2,63,346
8,Sevilla,19,4,64,343
9,Real Sociedad,26,1,70,333
10,Valencia,22,2,65,331
11,Deportivo La Coruna,22,1,66,322
12,Elche,17,1,77,320
13,Cordoba,20,1,64,319
14,Malaga,22,2,67,306
15,Getafe,19,1,68,306
16,Espanyol,19,2,67,284
17,Granada,21,1,65,280
18,Levante,21,1,71,272
19,Eibar,18,1,80,259
20,Almeria,22,1,70,248
