R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Cagliari,8%,40%,52%
2,Fiorentina,7%,43%,50%
3,Lazio,7%,44%,49%
4,Chievo,7%,43%,50%
5,Robur Siena,7%,43%,50%
6,Roma,6%,44%,50%
7,Parma Calcio 1913,6%,48%,46%
8,Pescara,6%,49%,45%
9,Palermo FC,6%,43%,50%
10,Bologna,5%,45%,50%
11,Torino,5%,45%,50%
12,Inter,5%,42%,52%
13,Sampdoria,5%,50%,45%
14,Udinese,5%,43%,52%
15,Genoa,5%,48%,47%
16,Catania,5%,46%,50%
17,Napoli,4%,40%,56%
18,Atalanta,4%,42%,53%
19,Juventus,3%,37%,60%
20,AC Milan,3%,43%,54%
