R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Juventus,26,7,62,452
2,Fiorentina,24,5,65,424
3,Roma,23,6,56,416
4,AC Milan,28,4,73,415
5,Inter,22,5,56,400
6,Palermo FC,19,3,50,388
7,Napoli,21,6,59,381
8,Torino,18,4,66,373
9,Lazio,24,3,64,365
10,Cagliari,21,3,64,359
11,Parma Calcio 1913,29,3,62,351
12,Pescara,19,2,59,346
13,Atalanta,26,3,59,332
14,Sampdoria,18,4,57,331
15,Udinese,20,3,59,330
16,Chievo,20,3,60,329
17,Catania,19,3,59,328
18,Bologna,24,3,54,324
19,Genoa,20,3,59,323
20,Robur Siena,25,2,61,302
