R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Inter,9%,47%,45%
2,Genoa,9%,49%,43%
3,Parma Calcio 1913,8%,53%,40%
4,Lazio,7%,40%,52%
5,Fiorentina,6%,44%,50%
6,Roma,6%,46%,48%
7,Juventus,6%,46%,48%
8,Udinese,6%,45%,49%
9,Atalanta,6%,49%,46%
10,Chievo,6%,47%,47%
11,Torino,5%,47%,48%
12,AC Milan,5%,42%,53%
13,Sampdoria,5%,38%,56%
14,Bologna,4%,43%,54%
15,Verona,4%,53%,43%
16,Cagliari,4%,41%,55%
17,Sassuolo,4%,45%,52%
18,Napoli,4%,47%,49%
19,Livorno,3%,35%,61%
20,Catania,3%,48%,49%
