Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Roma,10.8,20.1,16.4,12.8,2.2,7.09
2. Juventus,10,19.4,12.6,14.9,2.7,7.09
3. Inter,11.5,22.4,13.2,13.2,1.9,7.03
4. Napoli,12.1,20.5,15.5,12.4,1.9,7.00
5. Fiorentina,12.5,18.4,14.8,12.2,1.5,6.96
6. Parma Calcio 1913,12.2,22.1,14.5,16.2,2,6.90
7. AC Milan,12.2,18.8,12.9,15,1.8,6.88
8. Lazio,12.2,21,16.4,15.8,1.9,6.87
9. Torino,14.1,20.9,13.3,12.8,3.4,6.86
10. Udinese,14.3,21.2,19,13.6,2.4,6.85
11. Verona,17.7,20.2,14.3,13.2,1.9,6.84
12. Atalanta,16.2,21,13,13.8,2.4,6.83
13. Sampdoria,13.3,20.8,16.3,17.4,2,6.82
14. Genoa,15.9,19.5,15.9,15.9,2.4,6.79
15. Bologna,12.6,20.6,16.4,15.7,2.3,6.75
16. Catania,15.8,23,16.7,16.9,2.3,6.74
17. Cagliari,13.1,17.6,15.5,15.3,1.4,6.71
18. Sassuolo,13.5,19.5,16.9,16.7,1.6,6.70
19. Chievo,13.4,19.6,16.1,16.6,2.6,6.69
20. Livorno,14.7,22.4,14,15.1,1.9,6.66
