R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Verona,25,1,53,429
2,Chievo,22,1,71,418
3,Livorno,24,2,66,414
4,Torino,23,1,57,404
5,Catania,23,1,67,394
6,Sassuolo,22,1,65,389
7,Genoa,23,2,59,382
8,Lazio,18,2,61,381
9,Bologna,22,1,69,380
10,Atalanta,23,1,57,377
11,Parma Calcio 1913,21,1,60,371
12,Udinese,22,1,58,369
13,Napoli,18,1,62,365
14,Sampdoria,23,1,63,363
15,Cagliari,25,1,67,362
16,Juventus,16,1,67,350
17,Roma,20,1,50,329
18,Inter,20,1,60,326
19,AC Milan,19,1,56,317
20,Fiorentina,19,1,56,309
