Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Roma,15.6,5.7,10.2,12.9,7.09
2. Juventus,15.8,5.9,9.3,12.6,7.09
3. Inter,14.5,4.9,13,12.5,7.03
4. Napoli,15.2,5.9,8.3,13.1,7.00
5. Fiorentina,15.2,4.6,11.1,16.2,6.96
6. Parma Calcio 1913,13.1,4.3,8.1,13.2,6.90
7. AC Milan,16.2,5.3,10.1,13.7,6.88
8. Lazio,14.2,4.8,10.4,12.1,6.87
9. Torino,13.1,4.6,8.4,13.6,6.86
10. Udinese,12.8,4.2,11.4,13.1,6.85
11. Verona,12,4.3,9.2,13.3,6.84
12. Atalanta,11.8,4,6.9,14.2,6.83
13. Sampdoria,13.8,4.6,9.1,15,6.82
14. Genoa,9.9,3.5,7.1,15.4,6.79
15. Bologna,13.1,4.2,8.2,15.2,6.75
16. Catania,12.8,3.8,9.6,15.2,6.74
17. Cagliari,12.4,3.5,6.8,14.3,6.71
18. Sassuolo,13,4.2,7.6,16.2,6.70
19. Chievo,10.8,3.5,7.9,13.4,6.69
20. Livorno,12.8,3.7,10.1,16.3,6.66
