R,Team,Left Side,Middle of the pitch,Right Side
1,Genoa,39%,25%,35%
2,Parma Calcio 1913,38%,29%,33%
3,Chievo,38%,26%,37%
4,Atalanta,38%,28%,35%
5,Bologna,36%,30%,35%
6,Fiorentina,35%,31%,34%
7,Inter,35%,29%,36%
8,Napoli,35%,32%,33%
9,AC Milan,34%,29%,37%
10,Cagliari,34%,30%,36%
11,Livorno,33%,33%,34%
12,Catania,33%,35%,32%
13,Verona,32%,29%,38%
14,Sampdoria,32%,29%,39%
15,Roma,32%,31%,37%
16,Udinese,32%,30%,38%
17,Lazio,31%,31%,38%
18,Juventus,31%,35%,34%
19,Sassuolo,31%,33%,36%
20,Torino,30%,31%,39%
