R,Team,Left Side,Attempts from the middle,Right Side
1,Napoli,27%,56%,17%
2,Livorno,24%,55%,21%
3,Cagliari,23%,62%,15%
4,Udinese,21%,63%,17%
5,Chievo,21%,60%,19%
6,Fiorentina,20%,59%,21%
7,AC Milan,20%,62%,18%
8,Bologna,19%,59%,22%
9,Inter,19%,61%,20%
10,Roma,19%,59%,22%
11,Lazio,19%,60%,21%
12,Catania,19%,63%,18%
13,Torino,18%,56%,26%
14,Juventus,18%,66%,16%
15,Sassuolo,18%,62%,20%
16,Verona,17%,67%,15%
17,Sampdoria,17%,60%,24%
18,Genoa,17%,71%,12%
19,Parma Calcio 1913,16%,70%,13%
20,Atalanta,15%,69%,15%
