R,Team,Fouls,Unprofessional,Dive,Other
1,Sampdoria,83,8,2,21
2,Parma Calcio 1913,81,5,1,23
3,Bologna,74,9,1,24
4,Sassuolo,74,7,5,19
5,Chievo,73,12,1,23
6,Catania,73,7,2,22
7,Genoa,71,6,3,23
8,Cagliari,70,11,0,29
9,Livorno,69,5,6,36
10,Lazio,68,5,5,16
11,AC Milan,64,5,1,26
12,Atalanta,64,7,1,20
13,Torino,61,7,3,24
14,Udinese,60,6,3,16
15,Roma,60,9,4,16
16,Napoli,59,2,4,15
17,Juventus,55,1,3,13
18,Fiorentina,52,5,6,31
19,Verona,50,5,1,18
20,Inter,47,4,1,23
