R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Sevilla,12%,61%,27%
2,Eibar,9%,53%,37%
3,Rayo Vallecano,9%,49%,41%
4,Barcelona,9%,62%,29%
5,Sporting Gijon,9%,54%,37%
6,Valencia,8%,52%,40%
7,Atletico Madrid,8%,55%,37%
8,Real Sociedad,8%,56%,36%
9,Getafe,8%,49%,43%
10,Real Betis,7%,54%,39%
11,Espanyol,7%,61%,32%
12,Malaga,7%,52%,41%
13,Villarreal,7%,55%,38%
14,Athletic Bilbao,6%,58%,35%
15,Real Madrid,5%,57%,38%
16,Deportivo La Coruna,5%,46%,49%
17,Celta Vigo,5%,53%,41%
18,Granada,5%,46%,49%
19,Las Palmas,4%,51%,45%
20,Levante,4%,53%,43%
