R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Granada,12%,56%,32%
2,Valencia,9%,54%,38%
3,Rayo Vallecano,9%,61%,30%
4,Las Palmas,9%,56%,35%
5,Levante,9%,54%,37%
6,Deportivo La Coruna,8%,54%,38%
7,Espanyol,8%,52%,40%
8,Eibar,8%,55%,37%
9,Celta Vigo,7%,52%,41%
10,Getafe,7%,53%,40%
11,Real Madrid,6%,55%,39%
12,Athletic Bilbao,6%,57%,38%
13,Real Betis,6%,59%,34%
14,Malaga,6%,61%,33%
15,Villarreal,6%,57%,37%
16,Sporting Gijon,6%,52%,42%
17,Barcelona,5%,50%,45%
18,Real Sociedad,5%,54%,41%
19,Sevilla,4%,45%,51%
20,Atletico Madrid,4%,46%,49%
